date,title,proposed,n,source,flag,evidence,key
2019-01-01,"Minisode 22 | 2018, Memoriam",,0,public-counterpart,not-patreon-exclusive,"Minisode 23 | 2018, Memoriam",p:23464953
2019-04-01,Book vs Book 2 | Hikaru no Go Vol 1 vs Mockingbird Vol 1: I Can Explain,Kara Szamborski; René Rodriguez,2,description,,"Kara and René swap books from their target demographics and chat about wacky premises, fleshed out characters, and how small details can turn a story into a memorable one. René",p:25723458
2019-04-19,Mike & Paul Read Doom Patrol Part 1,Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:25658077
2019-04-20,Book vs Book 3 | Trees Vol 1: In Shadow vs Lady Killer,Tia Vasiliou; Kait Lamphere,2,description,,"Tia and Kait get together in this Book vs. Book episode to challenge each other to a new read! They discuss Lady Killer and Trees, and a few other podcasts along the way. Tia",p:25775353
2019-05-03,Mike & Paul Read Doom Patrol Part 2,Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:25658237
2019-05-17,Mike & Paul Read Doom Patrol Part 3,Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:26136472
2019-05-18,Book vs Book 4 | Asterix The Gaul vs Fence Volume 1,Mike Rapin; Kara Szamborski,2,description,,"Mike and Kara issued a ""challenge"" to each other to pick books they truly love for each other and while the comics are great, they were truly different! Mike",p:26811940
2019-05-31,"Mike & Paul Read Doom Patrol Part 4, Part 1",Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:26450077
2019-06-14,"Mike & Paul Read Doom Patrol Part 4, Part 2",Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:26450333
2019-06-23,Book vs. Book 5 | Mooncop vs. Rai Vol. 1,Kate Skocelas; Nick White,2,description,,Kate and Nick sat down and threw down the gauntlet for this Book vs Book! Kate,p:27821393
2019-06-28,Mike & Paul Read Doom Patrol Part 5,Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:27585028
2019-07-12,Mike & Paul Read Doom Patrol Part 6,Mike Rapin; Paul Jaissle,2,series-default,,named in the series title,p:27935140
2019-07-20,Book vs Book 6 | Cosmic Odyssey vs Gideon Falls Vol. 2: Original Sins,Paul Jaissle; Nick White,2,description,,"This month, Paul and Nick sat down to discuss books they picked for each other! Paul",p:28158631
2019-08-18,Book vs Book 7 | Prez Vol. 1 vs Life Is Strange Vol. 1,Brian Murray; Kara Szamborski,2,description,,"Brian and Kara deliver us a Book vs. Book episode featuring two books that are, well, strange! Kara",p:29247275
2019-09-29,Book vs Book 8 | Heart In A Box vs. Batwoman Vol. 1: Elegy,Kate Skocelas; Kait Lamphere,2,description,,"Sorry for the delay on this episode, folks! We had a few scheduling issues on our end, but you're going to love this episode of Book vs. Book! Kate and Kait discuss two books they'",p:30327599
2019-10-14,Microsode 1 | The Wic+Div Wake,Mike Rapin; Tia Vasiliou,2,description,,"Mike and Tia sat down to discuss The Wicked + The Divine wake at NYCC, dancing your heart out, and the welcoming world that is WicDiv.",p:30737408
2019-10-19,Book vs Book 9 | Fante Bukowski vs The Untold Legend of Batman,Mike Rapin; Paul Jaissle,2,description,,Mike and Paul dig in on two very different books that hold a special place in their hearts. Mike' Pick: Fante Bukowski by Noah Van Sciver Paul,p:30707691
2019-11-23,Book vs Book 10 | Quantum & Woody Vol. 1 vs Death Note Vol. 1,Nick White; René Rodriguez,2,description,,"Nick and René go head to head with this Book vs. Book, Valiant vs. Manga! Nick",p:31287389
2019-12-12,I Read Star Wars Comic Books Episode VI | Kanaan and Rebels,Brian Murray; Kara Szamborski,2,description,,"Brian and Kara discuss our favorite space fam and best boi Kanan in the context of this entertaining comic series. If you’ve watched Star Wars Rebels, you know all about not-Jedi K",p:31819738
2019-12-20,Book vs. Book 11 | Flavor vs Castle In The Stars: The Space Race of 1869,Kait Lamphere; Mike Rapin,2,description,,Kait and Mike go head to head this month with two books they picked for each other in our FINAL Book vs Book! Mike,p:32487271
2020-01-31,Saga of Saga: Intro,Mike Rapin; Brian Murray; Kait Lamphere; Kara Szamborski,4,description,,"This intro episode is the beginning of our new series Saga of Saga . Mike, Brian, Kait, and Kara will be partnering arc by arc, digging through every issue of the series Saga by Br",p:33568250
2020-02-01,Saga of Saga: Issue 1,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 1 -> volume 1,p:33569637
2020-02-05,Saga of Saga: Issue 2,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 2 -> volume 1,p:33569708
2020-02-08,Saga of Saga: Issue 3,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 3 -> volume 1,p:33569756
2020-02-12,Saga of Saga: Issue 4,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 4 -> volume 1,p:33569778
2020-02-15,Saga of Saga: Issue 5,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 5 -> volume 1,p:33569781
2020-02-19,Saga of Saga: Issue 6,Kait Lamphere; Kara Szamborski,2,saga-volume,,issue 6 -> volume 1,p:33569782
2020-02-22,Saga of Saga: Volume 1 Wrap,Brian Murray; Mike Rapin; Kara Szamborski; Kait Lamphere,4,saga-wrap+description,,"Brian, Mike, Kara, and Kait have a discussion about the first arc of Saga!",p:33569864
2020-02-26,Saga of Saga: Issue 7,Kara Szamborski; Mike Rapin,2,saga-volume,,issue 7 -> volume 2,p:34093278
