bucket,term,type,episodes,note,mike decision
1-maybe-a-comic,universal monsters,topic,4,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,age of x-man,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,backstagers,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,beastlands,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,deadpool,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,doctor strange,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,garfield,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,gargoyles,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,godzilla,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,hellraiser,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,kobra olympus,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,legacy of vader,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,megg and mogg,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,the rocketeer,topic,2,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,13th moon,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,a girl called echo,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,aquaman/jabberjaw,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,batman: one bad day,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,black canary,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,blade of the immortal,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,blow away,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,bone orchard mythos,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,cheer up,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,cheetah & chesire rob the justice league,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,class act,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,constantine,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,cook korean,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,corto maltese,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,crimson fall,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,demon slayer,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,disney manga: stitch and the samurai,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,dragonball,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,eddie brock,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,essential judge death,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,family tree,topic,1,may be a comic — a mention string starts with this,"yes, comic"
1-maybe-a-comic,flung out of space,topic,1,may be a comic — a mention string starts with this,"yes, comic"
